t, s
1.339339339339339248e-02,-1.868602246491867014e+00
1.345345345345345250e-02,-1.873226982901903037e+00
1.351351351351351253e-02,-1.878193650360265421e+00
1.357357357357357255e-02,-1.883476435191188569e+00
1.363363363363363258e-02,-1.889049010102271220e+00
1.369369369369369260e-02,-1.894884640184790747e+00
1.375375375375375263e-02,-1.900956287850207760e+00
1.381381381381381265e-02,-1.907236716354210548e+00
1.387387387387387441e-02,-1.913698591572952745e+00
1.393393393393393444e-02,-1.920314581710335311e+00
1.399399399399399446e-02,-1.927057454630164424e+00
1.405405405405405449e-02,-1.933900172522761585e+00
1.411411411411411451e-02,-1.940815983631987152e+00
1.417417417417417454e-02,-1.947778510785615813e+00
1.423423423423423456e-02,-1.954761836489503635e+00
1.429429429429429459e-02,-1.961740584363904416e+00
1.435435435435435461e-02,-1.968689996718599122e+00
1.441441441441441464e-02,-1.975586008082079514e+00
1.447447447447447466e-02,-1.982405314518833839e+00
1.453453453453453469e-02,-1.989125438587723504e+00
1.459459459459459471e-02,-1.995724789813470013e+00
1.465465465465465474e-02,-2.002182720562286633e+00
1.471471471471471476e-02,-2.008479577231660151e+00
1.477477477477477479e-02,-2.014596746683112727e+00
1.483483483483483481e-02,-2.020516697865426092e+00
1.489489489489489484e-02,-2.026223018594174086e+00
1.495495495495495486e-02,-2.031700447471499693e+00
1.501501501501501488e-02,-2.036934900947757754e+00
1.507507507507507491e-02,-2.041913495543920654e+00
1.513513513513513493e-02,-2.046624565270436236e+00
1.519519519519519496e-02,-2.051057674294495925e+00
1.525525525525525498e-02,-2.055203624923378936e+00
1.531531531531531501e-02,-2.059054460986595281e+00
1.537537537537537503e-02,-2.062603466714018285e+00
1.543543543543543506e-02,-2.065845161220902337e+00
1.549549549549549508e-02,-2.068775288723730732e+00
1.555555555555555511e-02,-2.071390804623090443e+00
1.561561561561561513e-02,-2.073689857601270337e+00
1.567567567567567516e-02,-2.075671767892979247e+00
1.573573573573573692e-02,-2.077337001897440416e+00
1.579579579579579521e-02,-2.078687143309181362e+00
1.585585585585585697e-02,-2.079724860953013010e+00
1.591591591591591526e-02,-2.080453873516050045e+00
1.597597597597597702e-02,-2.080878911376090823e+00
1.603603603603603531e-02,-2.081005675731295579e+00
1.609609609609609707e-02,-2.080840795240850749e+00
1.615615615615615536e-02,-2.080391780390197454e+00
1.621621621621621712e-02,-2.079666975797445971e+00
1.627627627627627541e-02,-2.078675510679783400e+00
1.633633633633633717e-02,-2.077427247700048163e+00
1.639639639639639546e-02,-2.075932730414193461e+00
1.645645645645645722e-02,-2.074203129540099777e+00
1.651651651651651551e-02,-2.072250188267171112e+00
1.657657657657657727e-02,-2.070086166824353757e+00
1.663663663663663556e-02,-2.067723786521692197e+00
1.669669669669669732e-02,-2.065176173477307753e+00
1.675675675675675561e-02,-2.062456802237783382e+00
1.681681681681681736e-02,-2.059579439495363040e+00
1.687687687687687565e-02,-2.056558088100219450e+00
1.693693693693693741e-02,-2.053406931560280313e+00
1.699699699699699570e-02,-2.050140279214786698e+00
1.705705705705705746e-02,-2.046772512260953913e+00
1.711711711711711575e-02,-2.043318030805797658e+00
1.717717717717717751e-02,-2.039791202107450019e+00
1.723723723723723580e-02,-2.036206310162154587e+00
1.729729729729729756e-02,-2.032577506784631449e+00
1.735735735735735585e-02,-2.028918764320662760e+00
1.741741741741741761e-02,-2.025243830121652433e+00
1.747747747747747590e-02,-2.021566182901549436e+00
1.753753753753753766e-02,-2.017898991086949589e+00
1.759759759759759595e-02,-2.014255073261480788e+00
1.765765765765765771e-02,-2.010646860795688440e+00
1.771771771771771600e-02,-2.007086362743707220e+00
1.777777777777777776e-02,-2.003585133077983471e+00
1.783783783783783605e-02,-2.000154240323295696e+00
1.789789789789789781e-02,-1.996804239641326140e+00
1.795795795795795610e-02,-1.993545147407065343e+00
1.801801801801801786e-02,-1.990386418308503824e+00
1.807807807807807615e-02,-1.987336924991297993e+00
1.813813813813813791e-02,-1.984404940260533934e+00
1.819819819819819620e-02,-1.981598121842306659e+00
1.825825825825825796e-02,-1.978923499698645561e+00
1.831831831831831625e-02,-1.976387465880375061e+00
1.837837837837837801e-02,-1.973995766893824388e+00
1.843843843843843630e-02,-1.971753498548905359e+00
1.849849849849849806e-02,-1.969665103248019467e+00
1.855855855855855982e-02,-1.967734369667512695e+00
1.861861861861861811e-02,-1.965964434776016345e+00
1.867867867867867987e-02,-1.964357788127015114e+00
1.873873873873873816e-02,-1.962916278356358513e+00
1.879879879879879992e-02,-1.961641121809223121e+00
1.885885885885885821e-02,-1.960532913215241591e+00
1.891891891891891997e-02,-1.959591638325141050e+00
1.897897897897897826e-02,-1.958816688417299501e+00
1.903903903903904002e-02,-1.958206876578147515e+00
1.909909909909909831e-02,-1.957760455656299303e+00
1.915915915915916007e-02,-1.957475137786702346e+00
1.921921921921921836e-02,-1.957348115377979925e+00
1.927927927927928012e-02,-1.957376083453441495e+00
1.933933933933933841e-02,-1.957555263234032727e+00
1.939939939939940017e-02,-1.957881426849707118e+00
1.945945945945945846e-02,-1.958349923064389264e+00
1.951951951951952022e-02,-1.958955703898802136e+00
1.957957957957957851e-02,-1.959693352034985070e+00
1.963963963963964027e-02,-1.960557108886304523e+00
1.969969969969969856e-02,-1.961540903217134701e+00
1.975975975975976032e-02,-1.962638380197192944e+00
1.981981981981981861e-02,-1.963842930776677820e+00
1.987987987987988037e-02,-1.965147721269933978e+00
1.993993993993993866e-02,-1.966545723037279370e+00
2.000000000000000042e-02,-1.968029742156903739e+00
2.006006006006005871e-02,-1.969592448981348554e+00
2.012012012012012047e-02,-1.971226407475995757e+00
2.018018018018017876e-02,-1.972924104240198151e+00
2.024024024024024052e-02,-1.974677977115185001e+00
2.030030030030029881e-02,-1.976480443286608324e+00
2.036036036036036057e-02,-1.978323926793600807e+00
2.042042042042041886e-02,-1.980200885360408947e+00
2.048048048048048062e-02,-1.982103836471079017e+00
2.054054054054053891e-02,-1.984025382612255584e+00
2.060060060060060066e-02,-1.985958235613895173e+00
2.066066066066065895e-02,-1.987895240022578225e+00
2.072072072072072071e-02,-1.989829395447105131e+00
2.078078078078077900e-02,-1.991753877821141661e+00
2.084084084084084076e-02,-1.993662059532870678e+00
2.090090090090089905e-02,-1.995547528376809154e+00
2.096096096096096081e-02,-1.997404105288226761e+00
2.102102102102101910e-02,-1.999225860825873724e+00
2.108108108108108086e-02,-2.001007130373999132e+00
2.114114114114113915e-02,-2.002742528039890946e+00
2.120120120120120091e-02,-2.004426959228389649e+00
2.126126126126125920e-02,-2.006055631879970047e+00
2.132132132132132096e-02,-2.007624066364078974e+00
2.138138138138137925e-02,-2.009128104024389572e+00
