t, e, s
1.515030060120240493e-03,3.000000000000000000e+00,4.681190535080375525e+00
1.529058116232464865e-03,3.000000000000000000e+00,4.699561711046537305e+00
1.543086172344689455e-03,3.000000000000000000e+00,4.717676974301001636e+00
1.557114228456913827e-03,3.000000000000000000e+00,4.735539889738913821e+00
1.571142284569138200e-03,3.000000000000000000e+00,4.753153972595996812e+00
1.585170340681362790e-03,3.000000000000000000e+00,4.770522689140311634e+00
1.599198396793587162e-03,3.000000000000000000e+00,4.787649457354386406e+00
1.613226452905811535e-03,3.000000000000000000e+00,4.804537647607837414e+00
1.627254509018036125e-03,3.000000000000000000e+00,4.821190583320620782e+00
1.641282565130260497e-03,3.000000000000000000e+00,4.837611541617053312e+00
1.655310621242484870e-03,3.000000000000000000e+00,4.853803753970708179e+00
1.669338677354709460e-03,3.000000000000000000e+00,4.869770406840340904e+00
1.683366733466933832e-03,3.000000000000000000e+00,4.885514642296950427e+00
1.697394789579158422e-03,3.000000000000000000e+00,4.901039558642104055e+00
1.711422845691382795e-03,3.000000000000000000e+00,4.916348211017651515e+00
1.725450901803607167e-03,3.000000000000000000e+00,4.931443612006948030e+00
1.739478957915831757e-03,3.000000000000000000e+00,4.946328732227693870e+00
1.753507014028056130e-03,3.000000000000000000e+00,4.961006500916527173e+00
1.767535070140280502e-03,3.000000000000000000e+00,4.975479806505461511e+00
1.781563126252505092e-03,3.000000000000000000e+00,4.989751497190302310e+00
1.795591182364729465e-03,3.000000000000000000e+00,5.003824381491144280e+00
1.809619238476953837e-03,3.000000000000000000e+00,5.017701228805051983e+00
1.823647294589178427e-03,3.000000000000000000e+00,5.031384769951054992e+00
1.837675350701402800e-03,3.000000000000000000e+00,5.044877697707543796e+00
1.851703406813627172e-03,3.000000000000000000e+00,5.058182667342174810e+00
1.865731462925851762e-03,3.000000000000000000e+00,5.071302297134407944e+00
1.879759519038076135e-03,3.000000000000000000e+00,5.084239168890748672e+00
1.893787575150300507e-03,3.000000000000000000e+00,5.096995828452826949e+00
1.907815631262525097e-03,3.000000000000000000e+00,5.109574786198388452e+00
1.921843687374749469e-03,3.000000000000000000e+00,5.121978517535313635e+00
1.935871743486974059e-03,3.000000000000000000e+00,5.134209463388748951e+00
1.949899799599198432e-03,3.000000000000000000e+00,5.146270030681455943e+00
1.963927855711423021e-03,3.000000000000000000e+00,5.158162592807474134e+00
1.977955911823647394e-03,3.000000000000000000e+00,5.169889490099171425e+00
1.991983967935871767e-03,3.000000000000000000e+00,5.181453030287804573e+00
2.006012024048096139e-03,3.000000000000000000e+00,5.192855488957652810e+00
2.020040080160320512e-03,3.000000000000000000e+00,5.204099109993830297e+00
2.034068136272544885e-03,3.000000000000000000e+00,5.215186106023859125e+00
